2024-11-12-12-31-54-804950 Update {"id":2331714192665970178,"timestamp":1731414714.8049495,"source":2331714195470066916,"xpath":"/svg:svg","attrs":{"x":0,"y":0,"width":340,"height":340}}
2024-11-12-12-31-54-844099 EnableTask {"id":2331714366923021536,"timestamp":1731414714.8440986,"source":2331714195470066916,"task_name":"tracking","context":null,"insert_at":-1}
2024-11-12-12-31-54-845658 Insert {"id":2331714370478920376,"timestamp":1731414714.8456578,"source":2331714195470066916,"xpath":"/svg:svg","element":"<svg xmlns=\"http://www.w3.org/2000/svg\" height=\"320\" id=\"tracking\" width=\"320\" x=\"10\" y=\"10\">\n    \n\n    <svg fill=\"transparent\" height=\"60\" id=\"tracking_target\" width=\"60\" x=\"130.0\" y=\"130.0\">\n        <circle cx=\"30.0\" cy=\"30.0\" fill=\"transparent\" r=\"25\" stroke=\"#1d90ff\" stroke-width=\"4\"></circle>\n        <circle cx=\"30.0\" cy=\"30.0\" fill=\"#1d90ff\" r=\"2\" stroke=\"#1d90ff\" stroke-width=\"4\"></circle>\n\n        <line stroke=\"#1d90ff\" stroke-width=\"4\" x1=\"30.0\" x2=\"30.0\" y1=\"55.0\" y2=\"42.5\"></line>\n        <line stroke=\"#1d90ff\" stroke-width=\"4\" x1=\"30.0\" x2=\"30.0\" y1=\"5.0\" y2=\"17.5\"></line>\n\n        <line stroke=\"#1d90ff\" stroke-width=\"4\" x1=\"55.0\" x2=\"42.5\" y1=\"30.0\" y2=\"30.0\"></line>\n        <line stroke=\"#1d90ff\" stroke-width=\"4\" x1=\"5.0\" x2=\"17.5\" y1=\"30.0\" y2=\"30.0\"></line>\n    </svg>\n\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10\" x2=\"35\" y1=\"10\" y2=\"10\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10\" x2=\"10\" y1=\"35\" y2=\"10\"></line>\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"310\" x2=\"285\" y1=\"10\" y2=\"10\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"310\" x2=\"310\" y1=\"35\" y2=\"10\"></line>\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10\" x2=\"35\" y1=\"310\" y2=\"310\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10\" x2=\"10\" y1=\"310\" y2=\"285\"></line>\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"310\" x2=\"285\" y1=\"310\" y2=\"310\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"310\" x2=\"310\" y1=\"310\" y2=\"285\"></line>\n\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10\" x2=\"310\" y1=\"160\" y2=\"160\"></line>\n\n    \n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"160\" x2=\"160\" y1=\"10\" y2=\"310\"></line>\n\n\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"140\" x2=\"180\" y1=\"10.0\" y2=\"10.0\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"140\" x2=\"180\" y1=\"310.0\" y2=\"310.0\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"10.0\" x2=\"10.0\" y1=\"140\" y2=\"180\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"310.0\" x2=\"310.0\" y1=\"140\" y2=\"180\"></line>\n\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"150\" x2=\"170\" y1=\"47.5\" y2=\"47.5\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"150\" x2=\"170\" y1=\"272.5\" y2=\"272.5\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"47.5\" x2=\"47.5\" y1=\"150\" y2=\"170\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"272.5\" x2=\"272.5\" y1=\"150\" y2=\"170\"></line>\n\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"140\" x2=\"180\" y1=\"85.0\" y2=\"85.0\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"140\" x2=\"180\" y1=\"235.0\" y2=\"235.0\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"85.0\" x2=\"85.0\" y1=\"140\" y2=\"180\"></line>\n    <line stroke=\"#1d90ff\" stroke-width=\"2\" x1=\"235.0\" x2=\"235.0\" y1=\"140\" y2=\"180\"></line>\n\n    \n\n    <rect fill=\"transparent\" height=\"75.0\" id=\"tracking_box\" stroke=\"#1d90ff\" stroke-dasharray=\"4,2,1,2\" stroke-width=\"2\" width=\"75.0\" x=\"122.5\" y=\"122.5\"></rect>\n\n\n\n</svg>","index":-1}
2024-11-12-12-31-55-022479 DrawArrowAction {"id":2331714185979390605,"timestamp":1731414714.802879,"source":43012534841289635711209294010113430011,"xpath":"/svg:svg","data":{"id":"guidance_arrow","x":"0.0","y":"0.0","scale":"1.0","rotation":"0.0","fill":"none","opacity":"0.0","stroke":"#ff0000","stroke_width":"4.0"}}
2024-11-12-12-31-55-022479 TaskAcceptable {"id":2331715057810570810,"timestamp":1731414715.005968,"source":43012534842203284775137215497745568251,"task":"tracking"}
2024-11-12-12-31-55-022479 WindowResizeEvent {"id":2331715058402971710,"timestamp":1731414715.005968,"source":43012487411096569512084431399159522453,"size":[358,387]}
2024-11-12-12-31-55-022479 WindowMoveEvent {"id":2331715057115818776,"timestamp":1731414715.005968,"source":43012487411096569512084431399159522453,"position":[781,332]}
2024-11-12-12-31-55-022479 ScreenSizeEvent {"id":2331715056152161777,"timestamp":1731414715.005968,"source":43012487411096569512084431399159522453,"size":[1920.0,1080.0]}
2024-11-12-12-31-55-022479 RenderEvent {"id":2331715060924260894,"timestamp":1731414715.0069685,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-55-044071 RenderEvent {"id":2331715176509335649,"timestamp":1731414715.0339737,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-55-060762 RenderEvent {"id":2331715276370734708,"timestamp":1731414715.0560172,"source":43012487411096569512084431399159522453}
